iter	RMSE
0	0.8899281327
1	0.8418141463
2	0.7997637876
3	0.7631366942
4	0.7269948909
5	0.6949280768
6	0.6657175422
7	0.6410969294
8	0.6194595362
9	0.599044217
10	0.5819963003
11	0.56769277
12	0.5552655138
13	0.5432129519
14	0.532754373
15	0.5223983607
16	0.5135426611
17	0.5060843406
18	0.4988308792
19	0.4919156985
20	0.4859181651
21	0.4808573211
22	0.4760987342
23	0.4719906401
24	0.4680490911
25	0.4643601431
26	0.461045323
27	0.4579740777
28	0.4553186777
29	0.4527582632
30	0.4502122164
31	0.4479529527
32	0.4459287182
33	0.4440234652
34	0.4425386534
35	0.4410449061
36	0.4393884848
37	0.4379200366
38	0.4368224849
39	0.435178994
40	0.4338156545
41	0.432819639
42	0.4312696549
43	0.4297574661
44	0.4285729134
45	0.4277923903
46	0.4268040326
47	0.4257514079
48	0.4248058583
49	0.4237126081
50	0.4221733869
51	0.4208942216
52	0.4197389681
53	0.4187099406
54	0.4175925385
55	0.416753748
56	0.415848774
57	0.4149609494
58	0.4142460927
59	0.4135586656
60	0.4130267892
61	0.4125483456
62	0.4118377305
63	0.4109687562
64	0.4103708542
65	0.4095311948
66	0.4087336788
67	0.4080040924
68	0.4075409075
69	0.4071593752
70	0.4062611266
71	0.4056788362
72	0.4048119491
73	0.4043695512
74	0.4035821978
75	0.4029277011
76	0.4025110044
77	0.4018319193
78	0.4011779929
79	0.4003589365
80	0.3996789961
81	0.3990147368
82	0.3984384692
83	0.3979001631
84	0.3973590143
85	0.3968137492
86	0.3963219545
87	0.3958165977
88	0.3953818483
89	0.3950508419
90	0.3945123511
91	0.3941328962
92	0.3937441387
93	0.393157314
94	0.3927859433
95	0.392352864
96	0.3918869661
97	0.3913551964
98	0.3908361922
99	0.3904318901
100	0.3899882716
101	0.389652933
102	0.3892429657
103	0.3888864937
104	0.388513404
105	0.3881440538
106	0.387712377
107	0.3872253514
108	0.3869588628
109	0.3864372099
110	0.3860246368
111	0.3855815082
112	0.3853346265
113	0.3849735521
114	0.3847337063
115	0.3843305308
116	0.3839406084
117	0.3834501011
118	0.3831283916
119	0.3829270251
120	0.3826344821
121	0.3822428474
122	0.3819345588
123	0.3815158543
124	0.3810594734
125	0.380611397
126	0.3802926895
127	0.3800104821
128	0.3797677046
129	0.3793677133
130	0.3789942944
131	0.3786642603
132	0.3783283191
133	0.3779429835
134	0.3776102923
135	0.3774110036
136	0.3771274917
137	0.3768701698
138	0.3765941292
139	0.376222621
140	0.3759729919
141	0.3755313986
142	0.3752608831
143	0.3749284767
144	0.3747030303
145	0.3744088211
146	0.3741871965
147	0.3739589149
148	0.3737786483
149	0.373389067
150	0.3731209956
151	0.3729083085
152	0.3726722511
153	0.3723796915
154	0.3721663033
155	0.3718215067
156	0.371648455
157	0.3714431957
158	0.3711612453
159	0.3708440502
160	0.3706212479
161	0.3703824219
162	0.3701009424
163	0.3698913912
164	0.3696612533
165	0.3695066084
166	0.3692629668
167	0.3690538592
168	0.368914032
169	0.3686307569
170	0.3684119623
171	0.3680486995
172	0.3678154622
173	0.367609371
174	0.3674174547
175	0.3672001865
176	0.3670319881
177	0.3667741225
178	0.366589955
179	0.3662785815
180	0.3660728497
181	0.3657882218
182	0.3655379095
183	0.3653446632
184	0.3652302665
185	0.3650068257
186	0.3647803496
187	0.3644761837
188	0.364256721
189	0.364126154
190	0.3639506554
191	0.3637711688
192	0.36354754
193	0.3633475128
194	0.3630963775
195	0.362924462
196	0.3626798256
197	0.3624232744
198	0.3621909815
