iter	Passed	Remaining
0	875	436920
1	1728	430394
2	2382	394626
3	3195	396202
4	3955	391616
5	4567	376018
6	5351	376885
7	6012	369753
8	6895	376173
9	8013	392663
10	8867	394214
11	9771	397393
12	10635	398429
13	11557	401215
14	12263	396524
15	13252	400901
16	14059	399457
17	14965	400729
18	15830	400757
19	16639	399355
20	17416	397252
21	18243	396391
22	19284	399940
23	20321	403036
24	20983	398691
25	21975	400630
26	22803	399479
27	23612	398036
28	24542	398600
29	25375	397551
30	26098	394840
31	27104	396401
32	28071	397248
33	29092	398742
34	30144	400490
35	30901	398287
36	31837	398393
37	32868	399617
38	33835	399956
39	34844	400714
40	35701	399679
41	36486	397873
42	37415	397651
43	38428	398256
44	39260	396969
45	40100	395778
46	41200	397100
47	42130	396726
48	43164	397287
49	44010	396091
50	44616	392800
51	45404	391178
52	46302	390514
53	47216	389974
54	47986	388255
55	48755	386557
56	49522	384885
57	50610	385690
58	51359	383889
59	52314	383637
60	53383	384185
61	54257	383305
62	55100	382203
63	55617	378896
64	56528	378309
65	57335	377022
66	58087	375400
67	58924	374341
68	59772	373359
69	60911	374167
70	61808	373463
71	62696	372698
72	63746	372872
73	64476	371172
74	65385	370519
75	66131	368945
76	67196	369145
77	67965	367710
78	68769	366480
79	69514	364952
80	70432	364336
81	71503	364495
82	72321	363349
83	73211	362572
84	74171	362133
85	74983	360965
86	75897	360293
87	76922	360135
88	77697	358805
89	78641	358254
90	79401	356870
91	80238	355842
92	81104	354942
93	82484	356263
94	83285	355061
95	84215	354405
96	84921	352818
97	85684	351482
98	86481	350292
99	87458	349835
100	88359	349065
101	89142	347829
102	89985	346837
103	90864	345985
104	91870	345606
105	92852	345132
106	93685	344098
107	94735	343856
108	95709	343324
109	96498	342130
110	97456	341538
111	98382	340826
112	99053	339237
113	99890	338226
114	100867	337685
115	101662	336536
116	102638	335988
117	103305	334430
118	104322	334006
119	105250	333294
120	106021	332082
121	106995	331511
122	107889	330685
123	108668	329511
124	109377	328133
125	110141	326927
126	111053	326165
127	111921	325271
128	112917	324748
129	114150	324888
130	115163	324392
131	116012	323427
132	117046	322976
133	117812	321785
134	118631	320744
135	119608	320129
136	120528	319356
137	121422	318513
138	122239	317472
139	123347	317179
140	124152	316103
141	125199	315644
142	126135	314898
143	126986	313937
144	127834	312974
145	128579	311761
146	129444	310841
147	130330	309974
148	131260	309211
149	132093	308218
150	133321	308141
151	134266	307400
152	135129	306469
153	136114	305816
154	136949	304823
155	137641	303517
156	138442	302458
157	139340	301609
158	140056	300371
159	140765	299125
160	141638	298232
161	142415	297139
162	143425	296529
163	144240	295516
164	145179	294757
165	146155	294072
166	146940	293000
167	147846	292173
168	148491	290831
169	149551	290305
170	150371	289310
171	151267	288464
172	152164	287617
173	153001	286657
174	154029	286054
175	155004	285348
176	156007	284690
177	156933	283890
178	157888	283140
179	158611	281975
180	159480	281073
181	160303	280091
182	161252	279328
183	162078	278351
184	162898	277367
185	164112	277050
186	164959	276108
187	166142	275725
188	167048	274879
189	167832	273831
190	168709	272938
191	169447	271821
192	170358	270984
193	171101	269881
194	172043	269094
195	172984	268302
196	174032	267674
197	175028	266962
198	175989	266195
199	176961	265441
200	177832	264537
201	178757	263711
202	179610	262779
203	180517	261927
204	181367	260992
205	182184	260011
206	183087	259152
207	183979	258278
208	185038	257636
209	185672	256404
210	186599	255579
211	187527	254753
212	188465	253941
213	189270	252950
214	190313	252276
215	191159	251339
216	191950	250331
217	192863	249484
218	193834	248709
219	195065	248265
220	196124	247596
221	197068	246779
222	197967	245905
223	198821	244975
224	199514	243851
225	200703	243330
226	201430	242249
227	202374	241428
228	203387	240690
229	204298	239828
230	205430	239224
231	206378	238402
232	207421	237689
233	208388	236885
234	209149	235849
235	210045	234966
236	210801	233926
237	211572	232907
238	212525	232088
239	213490	231281
240	214359	230370
241	215518	229767
242	216273	228733
243	217146	227826
